V1,V2
2.072345,-3.241693
17.93671,15.78481
1.083576,7.319176
11.12067,14.40678
23.71155,2.557729
24.169929999999997,32.02478
21.665779999999998,4.892855
4.693683999999998,12.34217
19.21191,-1.121366
4.230391,-4.441536
9.127130000000001,23.60572
0.4075031,15.29705
7.314846000000001,3.3093120000000003
-3.438403,-12.025269999999999
17.63935,-3.212345
4.415292,22.81555
11.94122,8.122487
0.7258532,1.806819
8.185273,28.1326
-5.773587,1.0248
18.76943,24.16946
7.752016,-3.3349910000000005
10.61132,28.44378
2.02165,-4.6871220000000005
5.145525,11.186
6.24331,19.47716
-11.706710000000001,8.073185
7.255978,14.637039999999999
3.3923730000000005,1.220712
24.2999,40.42887
4.094005,6.944694999999999
11.80358,-2.445336
0.09228785,-6.651035
28.50607,-9.091833
23.40831,7.931438000000001
10.56305,12.54468
20.14157,11.11789
-1.8712650000000002,8.60885
29.30237,14.02176
18.65383,17.216720000000002
-2.972188,6.370998999999999
10.32313,12.115739999999999
16.90539,-1.3550440000000001
6.753710000000001,12.02797
23.947770000000002,13.350470000000001
6.8835130000000015,6.188562999999999
-1.241542,10.08179
20.50827,-1.57887
-3.7568300000000003,1.60851
17.9176,13.09896
2.002537,-0.656524
10.7768,15.5336
24.15819,5.3303660000000015
0.3268727,7.288786999999999
21.64777,14.00506
6.871417,21.51998
15.14264,5.111947
11.54712,4.75756
0.6611676,-10.14263
-13.66531,16.93903
24.90937000000001,-10.82038
-4.53022,-6.173767
3.163677,8.051480999999999
1.495172,-7.261601
7.097637,2.1057509999999997
3.5094830000000004,24.584870000000002
12.99879,24.91248
0.3593824,6.3879150000000005
14.354289999999999,-2.252421
3.831208,-2.000873
31.40462,26.772090000000002
-5.501097,13.391279999999998
-1.0447600000000001,5.955898
4.409013,9.323681
2.917201,16.53999
7.265954,10.64794
10.32038,13.368570000000002
9.35213,10.42427
6.648532,11.07535
-1.922306,4.888493
7.2260399999999985,13.02948
8.327288000000001,8.540999000000001
17.69046,21.59555
16.58353,18.16115
12.35425,31.96708
2.4711380000000003,5.482761
18.4925,29.42421
10.1196,7.162078
20.40245,3.9433190000000002
12.71589,4.531656
24.35859,-4.0644
21.74312,15.90887
12.27208,-9.612116
18.29681,22.38563
3.530957,8.673297
5.0260419999999995,36.03767
-0.8633009,-7.5862490000000005
26.83892,13.137129999999999
19.119989999999998,7.209714999999999
-0.8841636999999999,27.152540000000002
-5.191529,29.65612
9.796095,15.435979999999999
11.66314,10.63428
9.925199000000001,26.80364
33.90998,15.026520000000001
9.570039999999999,9.2481
-16.2653,13.90024
15.105789999999999,3.350049
-4.186504,7.964410000000001
12.548160000000001,32.51867
-7.733469,9.634491
18.91337,15.7414
-1.050022,-4.0034550000000015
-6.894765,1.0418020000000001
23.05031,-12.76934
25.960729999999998,11.445219999999999
7.9507949999999985,6.811407000000001
-3.669517,-4.329696
10.52266,23.3561
26.294520000000002,10.51806
12.429039999999999,23.15663
0.1170239,24.652739999999998
-1.040023,1.629857
11.16266,9.0201
13.61452,0.8832188
8.028045,14.82966
20.40253,22.0472
8.818028,18.904239999999998
-0.31631529999999997,21.406010000000002
7.190192999999999,9.139619999999999
-0.4711474,-8.29095
16.6546,-1.519889
10.51711,-5.018592
17.963060000000006,14.46713
-1.3155350000000001,11.6027
5.113728,3.9614339999999997
32.25842,-2.712702
-10.59094,15.402920000000002
21.60892,17.750020000000006
11.31144,1.031762
11.30595,3.0689580000000003
15.511370000000001,8.943091
15.372010000000001,18.17922
3.77755,13.33419
17.279889999999998,13.977979999999999
-3.3497339999999998,26.6599
15.725710000000001,6.373983
25.50999,15.158370000000001
16.68281,18.95937
-4.734694,24.095679999999998
25.08795,19.69376
7.038364,10.6667
4.521214,-6.635304
6.454509,13.662720000000002
5.322541,22.3855
0.6316529000000001,19.79414
-5.669132,11.32511
9.843805999999999,-4.695499
15.39168,14.145270000000002
1.2895809999999999,10.09948
17.10334,6.207793
17.13273,6.609228
9.70176,12.33497
18.80351,-3.160759
6.08478,4.689186
-6.025192,26.612579999999998
4.237603,7.315439
16.82231,8.133560000000001
-4.768829,28.65819
0.5061416,4.9462980000000005
12.57349,10.41494
16.35374,6.874306
0.10097439999999999,2.5902529999999997
13.67556,-12.72959
2.477362,8.42026
14.99279,15.163929999999999
29.717109999999998,15.628739999999999
17.48491,3.3823
13.45815,-4.13764
2.2072,-1.554494
23.05134,24.39491
32.74222,25.56641
15.562970000000002,24.94262
8.132651,8.998712
0.4580866,-9.891244
-9.164294,5.029294
-3.031709,20.23346
12.12393,15.103
19.95281,29.149820000000002
13.004769999999999,27.230929999999997
10.4399,25.7741
0.351724,12.2222
10.37312,6.863772999999999
17.95419,4.455694
21.062920000000002,3.6078669999999997
6.069686,9.325338
14.00808,11.5225
-1.7777919999999998,14.62108
0.7525703,-7.381838
-2.3295470000000003,5.070321
1.77457,6.2785720000000005
10.69576,16.30571
18.11151,34.12422
0.2417766,27.046429999999997
-0.4202355,4.105829
15.41425,14.782570000000002
8.463556,23.04895
12.03072,17.41157
18.68731,6.949078999999999
6.3693550000000005,5.7003260000000004
21.82924,5.564074
7.6154100000000025,-5.024376999999999
5.823252,18.40279
22.35203,8.526174000000001
6.434616,21.16974
0.5560946,-4.8660760000000005
6.737062,-11.7331
-1.392677,14.64543
4.935136,24.86809
20.355079999999997,26.981240000000003
8.624667,10.67174
16.31749,11.640830000000001
9.014875,14.422460000000001
17.598329999999994,26.66023
2.6366490000000002,24.04782
13.82606,16.27159
10.39783,3.804893
-6.27359,3.878999
-11.88057,0.1788024
21.02048,9.690716
18.256320000000002,16.941270000000006
24.96351,-1.158215
10.13696,6.446662
3.5090660000000002,16.55414
2.4099209999999998,-0.3445188
16.0843,7.562616
5.987025,7.456533
12.63902,14.350810000000001
7.3925350000000005,22.613039999999998
10.372119999999999,-1.25827
-19.01791,0.6507304
3.030817,4.580993
34.0303,-3.7164230000000003
-5.843476,13.79137
36.956109999999995,-1.245269
-0.188409,-1.86653
17.28285,1.558553
8.9204,29.19455
-5.873556,6.456733
17.76259,24.02293
12.494819999999999,22.470670000000002
12.6087,3.212588
3.6065989999999997,14.24789
20.483420000000002,13.74531
31.6423,13.04685
4.745898,7.317133
-5.295478,6.0010080000000015
7.2383070000000025,19.98631
6.1445989999999995,19.910339999999998
9.837835,8.336385
18.64695,5.146764
-0.5638628000000001,9.673976
5.21368,21.831429999999997
-0.1993878,9.176207000000002
22.42831,8.390862
19.39561,-7.4128240000000005
31.28428,4.131464
8.380888,0.2647594
7.840689999999999,13.20062
23.859920000000002,6.171501
6.188661,24.926379999999998
18.08387,19.742079999999998
14.230960000000001,12.43815
14.4807,8.661634
30.91987,17.57755
4.117051,3.299065
18.100720000000006,9.572447
-3.777019,1.115207
18.47156,8.861407
30.69195,21.9132
1.838687,13.1765
14.22135,16.96163
27.709609999999998,10.52575
9.956135,7.890053999999999
11.7273,14.000860000000001
2.154482,14.163470000000002
-0.21204339999999997,1.330881
-1.7389830000000002,16.9849
2.299075,-0.29342579999999996
22.01149,-0.4469464
4.275241,16.67383
19.389429999999997,4.436821
8.80722,13.23823
-0.7658179,-4.004811
12.69128,13.529160000000001
12.73131,7.050802
8.388222,23.45347000000001
23.42708,4.5986410000000015
4.046104,7.634936
7.667025,3.193633
22.60801,5.130319999999998
14.743910000000001,28.767329999999998
20.53201,8.01565
16.46037,16.81531
12.70669,11.48214
-1.474059,3.329562
35.049609999999994,14.4484
2.5291770000000002,15.567210000000001
28.9961,-15.578339999999999
10.57878,6.307686
5.52815,14.124270000000001
12.48016,2.7289220000000003
18.100279999999998,3.891689
11.17125,11.10063
14.585379999999999,25.99213
27.21567000000001,-1.980637
-1.4027100000000001,22.3755
-14.66871,9.792318
28.25157,14.285070000000001
2.688756,3.0299970000000003
9.58344,12.00506
3.65772,1.6498709999999999
3.575705,14.80241
34.62557,4.384648
36.12292,12.058489999999999
12.56065,-4.733039
37.48364,34.12808
1.9152740000000001,22.28056
18.14029,3.569117
-1.2149809999999999,-3.3185839999999995
7.6464339999999975,29.922590000000003
-2.844509,13.711179999999999
14.627329999999999,16.4933
-0.37426950000000003,15.06495
10.15795,13.336120000000001
19.4574,11.29307
-6.23644,9.581524
0.2870638,6.756246000000001
7.025386999999999,8.299629
6.2054050000000025,29.41931
12.37304,4.152157
-8.001964,15.628429999999998
9.879503999999999,13.94365
12.83222,20.98375
10.71142,18.593329999999998
10.09704,9.915216000000001
17.89963,6.451302
-6.720686,14.993670000000002
3.7127339999999998,7.361372
-16.22395,17.81785
8.71418,24.10122
17.05254,5.227864
-14.69171,31.799870000000002
7.943416,10.26803
14.004979999999998,21.54721
-1.302871,2.063343
-0.7624772,7.0014119999999975
21.54626,21.13478
1.232726,12.78234
1.602791,2.210584
-6.679344,12.61919
-6.8925399999999994,2.9427950000000003
12.32427,22.68294
21.02468,26.13788
6.443124,-3.984948
22.39199,13.589070000000001
18.06598,2.7535220000000002
8.136961,22.73404
13.142079999999998,24.21235
11.514510000000001,15.922279999999999
-2.505605,15.30741
3.2995900000000002,13.2484
-4.795219,1.21583
29.08478,10.30137
5.1249199999999995,4.627426
17.060779999999998,9.965354
-0.340825,11.859589999999999
15.295320000000002,9.07695
6.39995,23.04672
14.522429999999998,17.693360000000006
28.85673,4.007333999999998
10.77192,5.787269
7.428644999999999,15.77705
-6.637650999999999,14.04711
17.08812,8.223101
15.077570000000001,-13.689429999999998
-22.15215,9.511638
5.04531,1.784843
-2.521792,-7.60383
32.85505,0.32100409999999996
6.070759,5.579687
3.508814,-3.7383290000000002
9.818843,2.407706
11.933530000000001,18.784670000000002
2.850058,-4.31489
5.20408,6.957638
13.56349,9.160739999999999
2.631175,5.677225
6.517994,-0.974309
15.80081,19.642329999999998
